RE,CH,EM,SU,EG,CX,story_id,prompt_id,model,label
-0.2341412164991967,-0.6132227348571867,-1.0107309574606578,-0.894922157237777,-0.3809932421695827,-0.9990989646203502,0,0,Human,1
0.94212075926965,0.7158151315633335,0.6742553612995614,0.6575732372747143,0.1168088163671795,0.5578565196776089,1,1,Human,1
0.6706756879383777,1.1145264914894897,-0.3169130615005675,1.7664985190693503,0.1168088163671795,0.1985591002242339,4,4,Human,1
0.94212075926965,1.1145264914894897,-0.0195625346605289,0.6575732372747143,0.4901603602697507,1.396217165068818,5,5,Human,1
-0.2341412164991967,-1.1448378814253952,-1.3080814843006965,-0.451352044519922,-1.1276963299747251,-0.2805041257136001,6,6,Human,1
0.0373038548320754,0.184199984995125,-0.0195625346605289,1.3229284063514957,0.8635119041723219,-0.2805041257136001,9,9,Human,1
0.3087489261633476,-0.2145113749310308,-0.0195625346605289,-1.2275997417761677,-0.3809932421695827,-0.9990989646203502,10,10,Human,1
-1.1389581209367712,-0.6132227348571867,0.3769048344595229,-0.894922157237777,0.4901603602697507,-0.2805041257136001,13,13,Human,1
0.94212075926965,0.7158151315633335,-0.6142635883406059,0.990250821813105,0.4901603602697507,0.917153939130984,14,14,Human,1
0.0373038548320754,0.184199984995125,-0.6142635883406059,-0.451352044519922,0.1168088163671795,-0.6398015451669752,17,17,Human,1
0.94212075926965,1.1145264914894897,0.3769048344595229,0.6575732372747143,0.8635119041723219,0.917153939130984,18,18,Human,1
0.0373038548320754,-1.1448378814253952,-0.3169130615005675,-0.1186744599815313,-0.7543447860721539,-0.6398015451669752,19,19,Human,1
0.0373038548320754,1.1145264914894897,0.3769048344595229,0.990250821813105,1.3613139627090842,0.1985591002242339,22,22,Human,1
-0.867513049605499,-1.1448378814253952,-1.3080814843006965,0.6575732372747143,-1.1276963299747251,-0.9990989646203502,23,23,Human,1
-0.867513049605499,-0.6132227348571867,-0.3169130615005675,1.3229284063514957,0.4901603602697507,0.1985591002242339,26,26,Human,1
-0.5960679782742269,-0.2145113749310308,-1.0107309574606578,-0.451352044519922,-0.3809932421695827,-0.2805041257136001,27,27,Human,1
-0.5960679782742269,-0.6132227348571867,-1.605432011140735,-1.5602773263145586,-0.7543447860721539,-0.9990989646203502,30,30,Human,1
0.94212075926965,1.1145264914894897,0.3769048344595229,-0.894922157237777,0.4901603602697507,-0.9990989646203502,32,32,Human,1
0.6706756879383777,0.7158151315633335,0.6742553612995614,-0.451352044519922,1.3613139627090842,0.5578565196776089,34,34,Human,1
0.3087489261633476,-0.2145113749310308,-0.6142635883406059,-0.451352044519922,-0.3809932421695827,-0.6398015451669752,35,35,Human,1
0.94212075926965,1.1145264914894897,-0.6142635883406059,1.3229284063514957,0.8635119041723219,0.917153939130984,36,36,Human,1
0.0373038548320754,0.184199984995125,0.6742553612995614,0.6575732372747143,0.4901603602697507,0.5578565196776089,40,40,Human,1
-1.7723299540430737,-0.2145113749310308,-1.605432011140735,0.2140031245568593,-1.1276963299747251,-0.6398015451669752,44,44,Human,1
0.6706756879383777,-0.2145113749310308,-1.605432011140735,-1.5602773263145586,0.1168088163671795,-2.1967570294649343,49,49,Human,1
0.3087489261633476,0.184199984995125,-0.3169130615005675,-0.1186744599815313,0.4901603602697507,0.1985591002242339,51,51,Human,1
0.94212075926965,1.1145264914894897,0.6742553612995614,0.990250821813105,0.8635119041723219,0.5578565196776089,53,53,Human,1
0.0373038548320754,0.7158151315633335,-0.6142635883406059,0.6575732372747143,0.8635119041723219,0.5578565196776089,56,56,Human,1
0.0373038548320754,1.1145264914894897,0.9716058881395998,-0.1186744599815313,1.7346655066116554,1.396217165068818,59,59,Human,1
0.94212075926965,1.1145264914894897,-0.0195625346605289,0.6575732372747143,1.7346655066116554,1.396217165068818,62,62,Human,1
-0.5960679782742269,-1.543549241351551,-1.605432011140735,-0.894922157237777,-1.1276963299747251,-0.9990989646203502,63,63,Human,1
0.94212075926965,1.1145264914894897,-1.3080814843006965,0.990250821813105,1.7346655066116554,1.396217165068818,65,65,Human,1
0.94212075926965,0.7158151315633335,-0.0195625346605289,0.6575732372747143,0.4901603602697507,0.1985591002242339,67,67,Human,1
0.3087489261633476,0.7158151315633335,-0.6142635883406059,-0.451352044519922,0.4901603602697507,-0.2805041257136001,69,69,Human,1
0.94212075926965,0.7158151315633335,-0.3169130615005675,0.990250821813105,0.8635119041723219,0.5578565196776089,80,80,Human,1
0.94212075926965,0.7158151315633335,0.6742553612995614,0.6575732372747143,0.8635119041723219,0.1985591002242339,81,81,Human,1
0.0373038548320754,0.7158151315633335,1.3680732572596517,1.3229284063514957,1.7346655066116554,1.396217165068818,87,87,Human,1
-0.867513049605499,0.184199984995125,0.3769048344595229,0.2140031245568593,0.1168088163671795,0.1985591002242339,89,89,Human,1
0.0373038548320754,0.184199984995125,-1.3080814843006965,-1.2275997417761677,-0.7543447860721539,-0.2805041257136001,91,91,Human,1
-0.2341412164991967,-1.1448378814253952,-0.3169130615005675,-0.1186744599815313,-0.7543447860721539,-0.6398015451669752,92,92,Human,1
-0.2341412164991967,0.7158151315633335,-0.3169130615005675,-0.894922157237777,0.4901603602697507,-0.6398015451669752,93,93,Human,1
0.94212075926965,0.7158151315633335,-1.3080814843006965,0.2140031245568593,0.4901603602697507,0.1985591002242339,94,94,Human,1
-0.867513049605499,-0.6132227348571867,-1.0107309574606578,-1.5602773263145586,0.1168088163671795,-0.9990989646203502,384,0,GPT-2 (tag),0
-0.5960679782742269,-1.543549241351551,-0.0195625346605289,-2.003847439032413,-1.1276963299747251,-0.2805041257136001,385,1,GPT-2 (tag),0
-1.1389581209367712,-1.543549241351551,-1.0107309574606578,-1.2275997417761677,-1.1276963299747251,-1.8374596100115592,388,4,GPT-2 (tag),0
-0.867513049605499,-1.1448378814253952,-0.3169130615005675,-0.894922157237777,-0.3809932421695827,-0.9990989646203502,389,5,GPT-2 (tag),0
-0.867513049605499,-1.543549241351551,-1.3080814843006965,-1.2275997417761677,-1.1276963299747251,-1.8374596100115592,390,6,GPT-2 (tag),0
